is_ID,is_Image_ID,is_Section_ID
395,IJNTVD03,114
396,IJNTWW01,45
397,IJNTWW02,45
398,IJNTWW03,45
399,IJNTWW04,45
400,IJNTWW05,45
401,IJNTWW06,45
402,IJNTWW07,45
403,IJNTWW08,45
405,IJNTWW10,52
406,IJNTWW11,52
407,IJNTWW12,52
408,IJNTWW13,52
409,IJNTWW14,52
410,IJNTWW15,52
412,IJNTWW17,52
413,IJNTWW18,52
414,IJNTWW19,52
415,IJNTWW20,52
416,IJOTCD01,93
417,IJOTCD02,93
418,IJOTCD03,93
419,IJOTHT02,97
420,IJOTHT03,97
421,IJOTHT04,97
422,IJOTHT05,97
423,IJOTHT06,97
424,IJOTHT07,97
425,IJOTHT08,97
426,IJOTHT09,97
427,IJOTIT01,91
428,IJOTIT02,91
429,IJOTIT03,91
430,IJOTIT04,91
431,IJOTIT05,91
432,IJOTIT06,94
433,IJOTIT07,94
434,IJOTIT08,94
435,IJOTIT20,98
436,IJOTIT21,98
437,IJOTIT22,98
438,IJOTIT23,98
439,IJOTIT24,98
440,IJOTIT25,98
441,IJOTIT26,98
442,IJOTIT27,98
443,IJOTIT28,98
444,IJOTIT29,98
445,IJOTTM01,118
446,IJOTTM02,118
447,IJOTWS01,99
448,IJOTWS02,99
449,IJOTWS03,99
450,IJOTWS04,99
451,INGLKZ01,41
452,INGLKZ02,41
453,INGLKZ03,41
454,INGLKZ04,41
455,INGLKZ05,41
456,INGLKZ06,41
457,INGLKZ07,41
458,INGLKZ08,41
459,INGLKZ09,41
460,INGLKZ10,41
461,INGLKZ11,41
462,INGLKZ12,41
463,INGLKZ13,41
464,INGLKZ14,41
465,INGLKZ15,41
466,INGLKZ16,41
467,INGLKZ17,41
468,INGLVS01,73
469,INGLVS02,73
470,INGLVS03,73
471,INGLVS04,73
472,INHVDN01,77
473,INHVDN010,77
474,INHVDN011,77
475,INHVDN012,77
476,INHVDN013,77
477,INHVDN014,77
478,INHVDN015,77
479,INHVDN016,77
480,INHVDN02,77
481,INHVDN03,77
482,INHVDN04,77
483,INHVDN05,77
484,INHVDN06,77
485,INHVDN07,77
486,INHVDN08,77
487,INHVDN09,77
488,INHVDN20,77
489,INHVHZ01,103
490,INHVHZ02,103
491,INHVHZ03,103
493,INHVHZ05,103
494,INHVHZ06,103
495,INHVHZ07,103
496,INHVHZ08,103
497,INHVHZ09,103
498,INHVHZ10,103
499,INJVMG02,63
500,INJVMG03,63
501,INJVMG04,63
502,INJVMG05,63
503,INJVMG07,63
504,INJVMG08,63
505,INJVMG09,63
506,INJVMG10,63
507,INJVMG11,63
508,INJVMG50,126
509,INJVMG51,126
510,INJVMG52,126
511,INJVMG53,126
512,INJVMG54,126
513,INJVMG55,126
514,INJVMG56,126
515,INJVMG57,126
516,INJVMG58,126
517,INJVMG59,126
518,INJVMG60,126
519,INJVMG61,126
520,INJVMG62,126
521,INLGCG01,134
522,INLGCG02,134
523,INSGCP01,37
524,INSGCP02,37
525,INSGCP03,37
526,INSGCP04,37
527,INSGCP05,37
528,INSGCP06,37
530,INSGCP08,37
531,INSGCP09,37
532,INSGCP10,37
533,INSGCP11,37
534,INSGCP12,37
535,INSGCP13,37
536,INSGCP14,37
537,INSGGB01,105
538,INSGGB02,105
539,INSGGB03,105
540,INSGGB04,105
541,INSGGB05,105
542,INSGGB06,105
543,INSGVS01,49
545,INSGVS03,49
546,INSGVS04,49
547,INSGVS05,49
548,INSGVS06,75
549,INSGVS07,75
550,INSGVS08,75
551,INSGVS09,49
552,INSGVS10,75
553,INSGVS11,49
554,ISBNAR01,64
555,ISBNAR02,64
556,ISBNAR03,64
557,ISBNAR04,64
558,ISBNAR05,64
559,ISBNAR06,64
560,ISBNAR07,64
561,ISBNAR08,64
562,ISBNAR09,64
563,ISBNAR10,64
564,ISBNAR11,64
565,ISBNAR12,64
566,ISBNAR13,64
567,ISBNAR14,64
568,ISBNAR15,64
569,ISBNAR51,100
570,ISBNAR52,100
571,ISBNAR53,100
572,ISBNAR54,100
573,ISBNAR55,100
574,ISBNAR56,100
575,ISBNAR57,100
576,ISBNBS01,113
577,ISBNBS02,113
578,ISBNBS03,113
579,ISBNBS04,113
580,ISBNBS05,113
581,ISBNBS06,113
582,ISBNBS07,113
583,ISBNBS08,113
584,ISBNBS09,113
585,ISBNBS10,113
586,ISBNBS11,113
587,ISBNBS12,113
588,ISBNBS13,113
589,ISBNBS15,113
590,ISBNBS16,113
591,JOTWS05,99
592,TCMCAP01,61
593,TCMCAP02,61
594,TCMCAP03,61
595,TCMCAP04,61
596,TCMCAP05,61
597,TCMCAP06,61
598,TCMCAP07,61
600,TCMCAP09,61
601,TCMCAP10,61
602,TCMCAP11,61
603,TCMCAP12,61
604,TCMCAP13,61
607,TCMCAP16,61
608,TCMCAP17,61
609,TCMCAP18,61
610,TCMCPA01,84
611,TCMCPA02,84
612,TCMCPA03,84
613,TCMCPA04,84
614,TCMCPA05,84
615,TCMCPA06,84
622,TCMCPA13,84
624,TCMCPE02,59
625,TCMCPE03,59
626,TCMCPE04,59
627,TCMCPE05,59
628,TCMCPE06,59
629,TCMCPE07,59
630,TCMCPE08,59
631,TCMCPE09,59
632,TCMCPE10,59
633,TCMCPE11,59
634,TCMCPE12,59
635,TCMCPE13,59
641,TCMCPE19,59
642,TCMCTS01,69
643,TCMCTS03,69
645,TCMCTS06,69
646,TCMCTS07,69
647,TCMCTS08,69
648,TCMCTS09,70
649,TCMCTS10,70
650,TCSCDR01,56
651,TCSCDR02,56
652,TCSCDR03,56
653,TCSCDR04,56
654,TCSCDR05,56
655,TCSCDR06,56
656,TCSCKY01,58
658,TCSCKY03,58
659,TCSCLY01,57
660,TCSCLY02,57
661,TCSCLY03,57
662,TCSCLY04,57
663,TCSCLY05,57
664,TCSCLY06,57
665,TCSCLY07,57
666,TCSCLY08,57
667,TCSCLY09,57
668,TCSCLY10,57
669,TCSCPA01,60
670,TCSCPA02,60
671,TCSCPA03,60
672,TCSCPA04,60
673,TCSCPA05,60
676,TCSCPA08,60
677,TCSCPA09,60
678,TCSCPA10,60
682,TCSCPA14,96
686,TCSCPA21,60
687,TCSCPA22,60
688,TCSCPA23,60
689,TCSCPA24,60
690,TCSCPA25,60
691,TCSCPA26,60
692,TCSCPA27,60
693,TCSCPA28,96
694,TCSCPA29,96
695,TCSCPA30,96
696,TCSCPA31,96
697,TCSCPA32,96
698,TCSCPA33,96
700,TCSCPA35,96
701,TCSCPA36,60
702,TCSCPA37,60
703,TCSCPA38,60
704,TEETEH01,66
705,TEETEH02,66
706,TEETEH03,66
707,TEETEH04,66
708,TEETEH05,66
709,TEETEH06,66
710,TEETHN02,67
711,TEETHN04,67
712,TEETHN06,67
713,TEETHN07,67
714,TEETHN08,67
715,TEETHN09,67
716,TEETSL01,68
717,TEETSL02,68
718,TEETSL03,68
719,TEETSL04,68
720,TEETSL05,68
721,TEETSL06,68
722,TEETSL07,68
724,TEETSL09,68
725,TWCSCL01,62
726,TWCSCL02,62
727,TWCSCL03,62
728,TWCSCL04,62
729,TWCSCL05,62
730,TWCSDD01,78
731,TWCSDD02,78
732,TWCSDD03,78
733,TWCSDD04,78
734,TWCSDD05,78
735,TWCSDD06,78
736,TWCSDD07,78
738,TWCSDD09,78
739,TWCSDD10,78
740,TWCSDD11,78
741,TWCSDD12,78
742,TWCSDD13,78
743,TWCSDD14,78
744,TWCSDD15,78
745,TWCSDD16,78
746,TWCSDD17,78
747,TWCSDD18,78
748,TWCSDD19,78
749,TWCSDD20,78
750,TWCSEA01,90
751,TWCSEA02,90
752,TWCSEA03,90
754,TWCSEA05,90
757,TWCSEA08,90
764,TWCSEP02,89
765,TWCSEP03,89
767,TWCSEP05,89
768,TWCSEP06,89
769,TWCSEP07,89
770,TWCSEP08,89
771,TWCSEP09,89
774,TWCSEP12,89
775,TWCSEP15,89
776,TWCSEP16,89
777,TWCSEP31,89
787,TWCSEU01,80
788,TWCSEU02,80
789,TWCSEU03,80
790,TWCSEU04,80
791,TWCSEU05,80
792,TWCSEU06,80
793,TWCSEU07,80
794,TWCSML01,115
795,TWCSML02,115
796,TWCSML03,115
797,TWCSML04,115
798,TWCSML05,115
799,TWCSML06,115
800,TWCSML07,115
801,TWCSML08,115
802,TWCSML09,115
803,TWCSML10,115
804,TWCSML11,115
805,TWCSML13,115
806,TWCSML14,115
807,TWCSML15,115
808,TWCSML16,115
809,TWCSML17,115
810,TWCSML18,115
811,TWCSML18b,115
812,TWCSML19,115
813,TWCSML20,115
814,TWCSML21,115
815,TWCSML22,115
816,TWCSML23,115
817,TWCSML24,115
818,TWCSML25,115
819,TWCSML26,115
820,TWCSML27,115
821,TWCSML28,115
826,TWCSPN05,133
827,TWCSPN06,133
828,TWCSPN07,133
829,TWCSPN08,133
830,TWCSPN09,133
831,TWCSPN10,133
832,TWCSPN11,133
833,TWCSPN12,133
